trans_num,trans_date_trans_time,amt,merchant,category,is_fraud,rule_flags,rule_triggered,anomaly,anomaly_score,predicted_fraud,fraud_probability,risk_score,risk_level
sim_36810fa7-61ff-452d-ae94-bf709c9a71dc,2024-03-14 09:55:43,1306.3100,fraud_Gislason Group,travel,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (18565km > 500km); RULE_VIOLATION:HIGH_AMOUNT ($1306.31 > $1000),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_f449e938-51ed-4367-9731-5ffd0e413b66,2024-03-14 13:07:52,85.1600,fraud_Durgan-Auer,misc_net,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (17141km > 500km),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_efcde8c2-be3a-411d-9bc8-26691701c5d1,2024-03-14 13:14:51,5.3900,fraud_Effertz LLC,entertainment,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (15457km > 500km),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_ac44bf09-6b2c-4572-88ec-052c9e0c2626,2024-03-14 18:16:32,140.6800,fraud_Connelly-Carter,home,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (15645km > 500km),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_d5cb6d14-a9a0-43e6-9178-45d918a740d3,2024-03-14 21:57:27,34.5900,fraud_Kutch LLC,gas_transport,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (16700km > 500km),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_85420294-51ab-494b-9dc6-70d98b507001,2024-03-15 02:59:32,69.1000,fraud_Berge LLC,gas_transport,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (16483km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (6 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_002f3876-99e3-4179-87dd-7d002d3f7ec3,2024-03-15 03:34:09,71.8700,fraud_Schmitt Inc,gas_transport,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (18049km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (7 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_d3ce4955-20b7-4f7f-83d3-e61bbf54cd75,2024-03-15 05:35:37,32.5300,fraud_Tillman LLC,travel,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (16695km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (8 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_fdf72aef-762c-4c94-83da-c919457d63ed,2024-03-15 10:13:17,127.5700,"fraud_Hills, Hegmann and Schaefer",health_fitness,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (15369km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (8 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_9be91030-1474-4eb7-a8ea-566ec2fd08eb,2024-03-15 13:09:54,69.1200,fraud_Bode-Rempel,kids_pets,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (16558km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (8 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
